nombre,codigo,descripcion,tipo_unidad,tipo
PERNO EXPANSIVO PARA VARILLA 1/2X3,H1316,PERNO EXPANSIVO PARA VARILLA 1/2X3,UND,Inventario
PAR DE CONECTORES MEDIDOR G1.6,H1317,PAR DE CONECTORES MEDIDOR G1.6,UND,Inventario
"TEE MECANICA STRAPT RPSC 2""X1/2""",H1318,"TEE MECANICA STRAPT RPSC 2""X1/2""",UND,Inventario
TUBERIA DE GAS AMARILLA 20X4 MM,H1319,TUBERIA DE GAS AMARILLA 20X4 MM,UND,Inventario
TACO PARA VARILLA DE 1/2,H1320,TACO PARA VARILLA DE 1/2,UND,Inventario
TEE MECANICA ROSCADA DE 1 1/2 X 1,H1321,TEE MECANICA ROSCADA DE 1 1/2 X 1,UND,Inventario
TUBO DRENAJE RIVAL 110MM,H1322,TUBO DRENAJE RIVAL 110MM,UND,Inventario
TANQUE HID TD 500/10 HIDRO TANK 500L,H1323,TANQUE HID TD 500/10 HIDRO TANK 500L,UND,Inventario
ADAPATADOR 1/2 SOHE MACHO COBRE,H1324,ADAPATADOR 1/2 SOHE MACHO COBRE,UND,Inventario
IMPERCOAT 5A GRIS,H1325,IMPERCOAT 5A GRIS,UND,Inventario
"VALVULA CHEKC 4""",H1326,"VALVULA CHEKC 4""",UND,Inventario
VALVULA GAS MARILLA TF 20 BO,H1327,VALVULA GAS MARILLA TF 20 BO,UND,Inventario
"NEPLO AC CED 40 1/2 X 5""",H1328,"NEPLO AC CED 40 1/2 X 5""",UND,Inventario
"PLATINA 2"" X 1/8""",H1329,"PLATINA 2"" X 1/8""",UND,Inventario
TAPON 3/4 MACHO AZUL,H1330,TAPON 3/4 MACHO AZUL,UND,Inventario
ATAQUE RAPIDO SRG HORIZONTAL,H1331,ATAQUE RAPIDO SRG HORIZONTAL,UND,Inventario
NEPLO AC 2 X 4 SIN COSTURA,H1332,NEPLO AC 2 X 4 SIN COSTURA,UND,Inventario
TUBO FUSION AZUL 25X6 M ENTERO POLIMEX,H1333,TUBO FUSION AZUL 25X6 M ENTERO POLIMEX,UND,Inventario
TEE AGUA CALIENTE 25 MM AZUL,H1334,TEE AGUA CALIENTE 25 MM AZUL,UND,Inventario
BAILEJO,H1335,BAILEJO,UND,Inventario
RECULADOR PRIMERA 12 KL 932 + MANOMETRO ROJO,H1336,RECULADOR PRIMERA 12 KL 932 + MANOMETRO ROJO,UND,Inventario
TUBO PVC EC 50X6 M,H1337,TUBO PVC EC 50X6 M,UND,Inventario
"TUBO CUADRADO HN 1-2X2""",H1338,"TUBO CUADRADO HN 1-2X2""",UND,Inventario
MANGUERA REFORZADA 1/2 METRO ALFLEX,H1339,MANGUERA REFORZADA 1/2 METRO ALFLEX,UND,Inventario
BROCA ESCALONADA 15 NIVELES 4 MM,H1340,BROCA ESCALONADA 15 NIVELES 4 MM,UND,Inventario
REGULADOR MONDIAL 2 KG,H1341,REGULADOR MONDIAL 2 KG,UND,Inventario
CODO TF 45X20 MM AZUL,H1342,CODO TF 45X20 MM AZUL,UND,Inventario
CRUZ RANURADA DE 1 1/2,H1343,CRUZ RANURADA DE 1 1/2,UND,Inventario
CALENTADOR AGUA GAS 40 GL RHEEM,H1344,CALENTADOR AGUA GAS 40 GL RHEEM,UND,Inventario
"REDUCCION HN RANURDA 4X3""",H1345,"REDUCCION HN RANURDA 4X3""",UND,Inventario
BROCA PORCELANATO 6 MM,H1346,BROCA PORCELANATO 6 MM,UND,Inventario
CONECTOR COFLEX ALTA PRESION GAS 1/2X1/2X150,H1347,CONECTOR COFLEX ALTA PRESION GAS 1/2X1/2X150,UND,Inventario
TEE MECANICA 2 1/2 X 1/2,H1348,TEE MECANICA 2 1/2 X 1/2,UND,Inventario
TUBO TF 32 MM AZUL,H1349,TUBO TF 32 MM AZUL,UND,Inventario
UNION TF 32 MM AZUL,H1350,UNION TF 32 MM AZUL,UND,Inventario
TAPON HG H 1/2,H1351,TAPON HG H 1/2,UND,Inventario
UNION TF 20 MM AZUL,H1352,UNION TF 20 MM AZUL,UND,Inventario
TEE REDUCIDA 40X32X40,H1353,TEE REDUCIDA 40X32X40,UND,Inventario
TAPON H 3/4 COBRE,H1354,TAPON H 3/4 COBRE,UND,Inventario
"TE RANURADA 1 1/4""",H1355,"TE RANURADA 1 1/4""",UND,Inventario
COLGADOR PERA  1 1/4,H1356,COLGADOR PERA  1 1/4,UND,Inventario
BOMBA IBAX BOXTER 1 HP MONOFASICA SISTEMA DE PRESION CONSTANTE,H1357,BOMBA IBAX BOXTER 1 HP MONOFASICA SISTEMA DE PRESION CONSTANTE,UND,Inventario
SUPER BONDER,H1358,SUPER BONDER,UND,Inventario
"TEE HG 1""",H1359,"TEE HG 1""",UND,Inventario
TAPON PVC DESAGUE HEMBRA 160 MM INYECTADO,H1360,TAPON PVC DESAGUE HEMBRA 160 MM INYECTADO,UND,Inventario
TUBERIA COBRE M 3/4 X 6M LUSA,H1361,TUBERIA COBRE M 3/4 X 6M LUSA,UND,Inventario
CAJA DE AGUA PARA 12 MEDIDORES,H1362,CAJA DE AGUA PARA 12 MEDIDORES,UND,Inventario
SWITCH PRESION 20-40,H1363,SWITCH PRESION 20-40,UND,Inventario
NEPLO CON CINTURA INOX 3/4,H1364,NEPLO CON CINTURA INOX 3/4,UND,Inventario
CALENTADOR DE AGUA 50 GL GAS ,H1365,CALENTADOR DE AGUA 50 GL GAS ,UND,Inventario
TORNILLO TIPO MARIPOSOA 1/4,H1366,TORNILLO TIPO MARIPOSOA 1/4,UND,Inventario
VALVULA ESERA GRIS AZUL 1 1/2,H1367,VALVULA ESERA GRIS AZUL 1 1/2,UND,Inventario
VALVULA PARA LAVADORA 1/2 X3/4 ANGULAR,H1368,VALVULA PARA LAVADORA 1/2 X3/4 ANGULAR,UND,Inventario
EXTINTOR BALON 15CM DIAMETRO,H1369,EXTINTOR BALON 15CM DIAMETRO,UND,Inventario
"TEE ROSCA HEMBRA 32 X 1"" X32",H1370,"TEE ROSCA HEMBRA 32 X 1"" X32",UND,Inventario
DESAGUE  PUSH 1 1/4,H1371,DESAGUE  PUSH 1 1/4,UND,Inventario
SIFON PVC 160 MM,H1372,SIFON PVC 160 MM,UND,Inventario
TE AI 1 1/4,H1373,TE AI 1 1/4,UND,Inventario
BOMBA PISCINA 1 HP 220 V,H1374,BOMBA PISCINA 1 HP 220 V,UND,Inventario
TERMOMETRO ANALG 1/2 (0-120c) POSTERIOR GENEBRE,H1375,TERMOMETRO ANALG 1/2 (0-120c) POSTERIOR GENEBRE,UND,Inventario
CEMENTO ASFALTICO 1 LT,H1376,CEMENTO ASFALTICO 1 LT,UND,Inventario
LLAVE DE CHORRO CROMADA 1/2 ,H1377,LLAVE DE CHORRO CROMADA 1/2 ,UND,Inventario
ABRAZADERA MEDIA LUNA DE 1/2,H1378,ABRAZADERA MEDIA LUNA DE 1/2,UND,Inventario
"VALVULA CHECK RANURADA 3 """,H1379,"VALVULA CHECK RANURADA 3 """,UND,Inventario
BUJE TF REDUCTOR 50 A 25 MM,H1380,BUJE TF REDUCTOR 50 A 25 MM,UND,Inventario
CONTROL DIFERENCIAL DE TEMPERATURA  DISPLAY LCD PARA PISCINA,H1381,CONTROL DIFERENCIAL DE TEMPERATURA  DISPLAY LCD PARA PISCINA,UND,Inventario
UNION 16  MM PEALPE,H1382,UNION 16  MM PEALPE,UND,Inventario
REDUCCION TF H-H 20X25 MM,H1383,REDUCCION TF H-H 20X25 MM,UND,Inventario
"NEPLO INOX 1""",H1384,"NEPLO INOX 1""",UND,Inventario
NEPLO HN 3/4,H1385,NEPLO HN 3/4,UND,Inventario
BUSHING HG ULFM 1/2X1/4,H1386,BUSHING HG ULFM 1/2X1/4,UND,Inventario
CODO FUSION AMARILLA 20 MM X 90,H1387,CODO FUSION AMARILLA 20 MM X 90,UND,Inventario
TEE TF 75 MM,H1388,TEE TF 75 MM,UND,Inventario
PERNO DE ANCLAJE 1-4,H1389,PERNO DE ANCLAJE 1-4,UND,Inventario
TL 10*1 TONILLO TRIPATO/PATO C/LENTEJA,H1390,TL 10*1 TONILLO TRIPATO/PATO C/LENTEJA,UND,Inventario
TAPON PVC MACHO 110 MM,H1391,TAPON PVC MACHO 110 MM,UND,Inventario
TANQUE TIPO BOTELLA 2000 LTS,H1392,TANQUE TIPO BOTELLA 2000 LTS,UND,Inventario
ABRAZADERA METALICA TITAN 1000,H1393,ABRAZADERA METALICA TITAN 1000,UND,Inventario
PRESOSTATO AGUA PENTAX 12 BAAR PP12,H1394,PRESOSTATO AGUA PENTAX 12 BAAR PP12,UND,Inventario
IMPERCOAT CHOVA GRIS 10M,H1395,IMPERCOAT CHOVA GRIS 10M,UND,Inventario
TUBO TF 20 X 4 M TORO,H1396,TUBO TF 20 X 4 M TORO,UND,Inventario
